purchase_amount,customer_rating,social_media_platform,engagement_score_mean,purchase_interest_score_mean,review_sentiment_score_mean,social_profile_rows,purchase_month,purchase_day_of_week,is_weekend_purchase,high_value_purchase,purchase_day_of_year,product_category
434,3.0,Twitter,66.0,2.1,1.0,1.0,4,6,1,1,98,Clothing
236,1.3,Unknown,75.0,3.3,0.0,1.0,5,1,0,0,128,Clothing
444,2.4,LinkedIn,63.0,3.3,1.0,1.0,5,2,0,1,122,Clothing
335,3.0,TikTok,72.0,2.9,1.0,1.0,2,0,0,1,43,Electronics
280,1.6,LinkedIn,57.0,1.8,1.0,1.0,1,4,0,1,12,Electronics
460,4.6,Facebook,92.0,2.1,1.0,1.0,3,4,0,1,61,Sports
157,3.5,Facebook,75.0,3.4,-0.5,2.0,2,4,0,0,40,Books
423,1.1,Facebook,51.0,1.3,1.0,1.0,3,0,0,1,71,Sports
495,2.6,Unknown,75.0,3.3,0.0,1.0,2,4,0,1,54,Books
367,4.5,Unknown,75.0,3.3,0.0,1.0,3,6,1,1,77,Electronics
250,3.5,Facebook,99.0,4.2,-1.0,1.0,5,6,1,0,126,Clothing
214,1.4,Instagram,68.0,1.2,-1.0,1.0,3,0,0,0,64,Sports
165,2.8,Unknown,75.0,3.3,0.0,1.0,2,6,1,0,56,Groceries
248,4.0,Unknown,75.0,3.3,0.0,1.0,5,0,0,0,141,Books
271,2.1,Twitter,68.0,1.0,0.0,1.0,1,2,0,0,17,Books
376,1.5,Unknown,75.0,3.3,0.0,1.0,1,5,1,1,27,Groceries
236,3.0,Twitter,77.0,1.5,0.0,1.0,3,4,0,0,89,Groceries
344,3.0,Facebook,82.5,3.6,-0.5,4.0,3,3,0,1,81,Books
172,4.0,Instagram,77.0,4.4,-0.5,2.0,4,0,0,0,113,Clothing
162,3.5,Facebook,58.0,3.1500000000000004,0.0,2.0,3,5,1,0,76,Sports
112,2.6,Facebook,79.5,3.35,0.5,2.0,1,2,0,0,10,Sports
283,3.7,Unknown,75.0,3.3,0.0,1.0,3,3,0,1,67,Sports
408,2.5,Twitter,68.0,1.0,0.0,1.0,2,2,0,1,59,Books
452,2.5,Unknown,75.0,3.3,0.0,1.0,5,2,0,1,136,Electronics
209,4.3,Facebook,58.0,3.1500000000000004,0.0,2.0,3,1,0,0,72,Sports
236,1.2,LinkedIn,84.5,3.35,0.5,2.0,1,6,1,0,28,Electronics
280,1.3,Facebook,87.5,2.5,1.0,2.0,2,5,1,1,48,Groceries
332,4.2,Instagram,60.0,4.3,1.0,1.0,1,1,0,1,2,Electronics
274,4.3,Twitter,50.0,3.0,-1.0,1.0,4,5,1,1,97,Groceries
395,2.5,Facebook,79.0,3.05,0.0,2.0,5,3,0,1,137,Books
375,3.8,Instagram,98.0,4.1,-1.0,1.0,5,2,0,1,129,Clothing
269,4.0,TikTok,79.0,2.8,1.0,1.0,4,1,0,0,93,Clothing
452,4.6,Facebook,88.0,4.15,1.0,2.0,4,0,0,1,99,Clothing
333,2.6,Unknown,75.0,3.3,0.0,1.0,2,2,0,1,38,Clothing
491,3.9,Instagram,60.0,4.3,1.0,1.0,3,0,0,1,78,Books
88,2.7,LinkedIn,51.0,4.8,0.0,1.0,5,5,1,0,146,Sports
274,1.1,LinkedIn,88.0,3.5,1.0,1.0,2,0,0,1,50,Electronics
111,2.9,Unknown,75.0,3.3,0.0,1.0,2,6,1,0,35,Books
401,4.9,Twitter,82.0,4.8,0.0,1.0,5,6,1,1,140,Sports
85,2.4,Facebook,87.5,2.5,1.0,2.0,1,2,0,0,24,Sports
233,3.7,Instagram,85.66666666666667,2.733333333333334,-0.6666666666666666,3.0,4,6,1,0,112,Sports
398,1.3,Instagram,61.5,3.75,0.0,2.0,5,3,0,1,130,Electronics
183,2.7,Facebook,87.0,4.8,-1.0,1.0,2,1,0,0,37,Clothing
247,4.8,TikTok,72.0,5.0,1.0,1.0,2,3,0,0,60,Electronics
343,1.4,Twitter,71.0,4.8,1.0,1.0,4,3,0,1,116,Books
296,3.5,Unknown,75.0,3.3,0.0,1.0,4,2,0,1,108,Groceries
409,1.4,Facebook,79.0,2.1,-0.5,2.0,5,0,0,1,148,Clothing
62,4.0,LinkedIn,63.0,3.3,1.0,1.0,1,3,0,0,25,Electronics
197,4.8,Facebook,64.0,1.95,0.0,2.0,5,5,1,0,139,Sports
196,4.3,Instagram,68.0,1.2,-1.0,1.0,5,4,0,0,138,Sports
193,1.6,LinkedIn,86.0,3.1,-1.0,1.0,5,4,0,0,124,Groceries
179,3.0,Facebook,66.33333333333333,3.466666666666667,0.6666666666666666,3.0,4,2,0,0,101,Electronics
317,2.1,LinkedIn,78.0,3.9,0.0,1.0,3,2,0,1,80,Electronics
329,3.0,Unknown,75.0,3.3,0.0,1.0,4,4,0,1,117,Sports
252,2.3,Unknown,75.0,3.3,0.0,1.0,4,5,1,0,111,Books
201,2.3,Facebook,77.5,2.95,-1.0,2.0,3,5,1,0,69,Electronics
192,3.4,Twitter,68.0,1.0,0.0,1.0,1,6,1,0,21,Groceries
301,1.3,Instagram,81.0,2.95,0.0,2.0,5,6,1,1,133,Groceries
488,3.0,Unknown,75.0,3.3,0.0,1.0,4,4,0,1,110,Electronics
435,4.0,Instagram,68.0,1.2,-1.0,1.0,3,4,0,1,82,Groceries
209,4.8,Facebook,98.0,3.5,1.0,1.0,4,6,1,0,105,Books
