filename,user_id,phrase,is_augmented,aug_type,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,spectral_centroid_mean,spectral_rolloff_mean,zero_crossing_rate_mean,rms_mean
Acess denied.wav,wagner,Acess denied.wav,FALSE,original,-286.88095,63.551456,-33.746113,4.142834,-20.346342,-0.49606088,-20.264162,17.876719,-17.294302,-0.2685732,-22.121857,4.255124,-12.004223,3477.173271,5701.278409,0.2195667614,0.040718593
Acess denied.wav_aug_1,wagner,Acess denied.wav_aug_1,TRUE,aug_1,-207.69911,45.416576,-23.998707,17.099836,-26.694016,23.449448,-28.85284,25.873981,-19.68282,19.74329,-22.770906,12.299047,-21.102556,4257.943464,7748.650568,0.2850852273,0.0405381
Acess denied.wav_aug_2,wagner,Acess denied.wav_aug_1,TRUE,aug_2,-338.6177,81.64186,-40.111492,18.583496,-28.978113,13.801109,-33.567284,20.34056,-12.788223,8.732764,-18.229479,-2.281934,-12.098173,2914.173461,4837.286932,0.1924804688,0.03458636
"No, cancel.wav",wagner,"No, cancel.wav",FALSE,original,-358.17203,93.38838,14.745001,-3.8811247,-38.129463,-0.3965249,1.0511482,-0.9767812,-4.763524,-4.434247,-13.5905285,1.395795,-3.317817,2685.750308,4570.84517,0.1792140152,0.046255488
"No, cancel.wav_aug_1",wagner,"No, cancel.wav",TRUE,aug_1,-259.0782,30.524698,8.3150425,-4.386813,-10.8304825,-4.822818,-2.162799,-0.50961393,-2.6143003,-3.033905,-5.2200193,-3.2619019,-1.9074688,4032.153904,7704.545455,0.2336795691,0.04172169
"No, cancel.wav_aug_2",wagner,"No, cancel.wav",TRUE,aug_2,-212.96814,30.015945,6.833109,-8.991552,-11.659203,-4.418216,-1.1112351,-2.897734,-3.8764005,-5.0129747,-5.142779,-2.978896,-3.226722,4578.405752,8690.518466,0.2761674361,0.047985706
"Yes, approve.wav",wagner,yes_approve,FALSE,original,-359.80566,46.65605,-11.923418,5.035281,-15.197784,-0.43444365,-22.764894,1.6568156,-10.506684,-2.0370095,-15.209644,-1.1590863,-17.266972,3605.870515,6302.060884,0.2177650189,0.042831566
"Yes, approve.wav_aug_1",wagner,yes_approve,TRUE,aug_1,-367.02927,44.606487,-10.472999,4.797292,-14.653441,0.7589714,-22.312138,0.054878794,-10.740759,-2.740374,-14.179955,-1.0678625,-18.38836,3514.879355,6175.983297,0.2216881061,0.045040637
"Yes, approve.wav_aug_2",wagner,yes_approve,TRUE,aug_2,-362.36954,46.68621,-11.971174,5.01716,-15.169351,-0.29356515,-22.5653,1.8777328,-10.09657,-1.8314483,-15.303102,-0.96000206,-16.97023,3565.090818,6265.692349,0.2245504445,0.042498384
comfirm_transaction.wav,wagner,confirm_transaction,FALSE,original,-280.7425,63.22106,-17.562838,15.406098,-8.368829,-8.747608,-17.44323,6.5980787,-12.471364,-13.970638,-24.813091,5.006106,-16.84886,3102.194966,5321.044922,0.1831588745,0.057186134
comfirm_transaction.wav_aug_1,wagner,confirm_transaction,TRUE,aug_1,-211.70117,30.232632,0.54973125,5.119514,-0.28865528,-8.863419,-9.672909,2.703732,-5.9733114,-10.831146,-11.241219,-2.5800962,-6.7635546,4167.044202,8005.004883,0.236907959,0.05806529
comfirm_transaction.wav_aug_2,wagner,confirm_transaction,TRUE,aug_2,-280.7425,63.22106,-17.562838,15.406098,-8.368829,-8.747608,-17.44323,6.5980787,-12.471364,-13.970638,-24.813091,5.006106,-16.84886,3102.194966,5321.044922,0.1831588745,0.057186134
